"","Estimate","StdError","PValue","ZValue","ci_95_upper","ci_95_lower","ci_99_upper","ci_99_lower","OddsRatio","OR_ci_95_upper","OR_ci_95_lower","OR_ci_99_upper","OR_ci_99_lower","AIC","BIC","LogLikelihood"
"ssriSnri_PatternsDeprescribing",-0.433917653747266,0.230939679707341,0.06025513915104,-1.87892203841778,-0.89340380309432,0.0147366629815302,-1.04143114264953,0.154815671355287,0.647965610828467,0.409260337636829,1.01484578296199,0.35294919968365,1.16744274813123,8149.37832956227,8583.28995884247,-4009.68916478113
"ssriSnri_PatternsInitiating",-0.238877409691837,0.24244663069329,0.324487377468858,-0.985278322939585,-0.72016607502051,0.23274001654392,-0.874648194285832,0.380108975645889,0.787511417722798,0.486671425281244,1.26205332368674,0.417008699919011,1.46244395152497,8149.37832956227,8583.28995884247,-4009.68916478113
"ssriSnri_PatternsNo_Treat",-0.357750544445351,0.223323268021392,0.109168810272017,-1.60194030660111,-0.802804530702562,0.0757605763016272,-0.946570762773453,0.211070437650584,0.699247484420986,0.448070572665347,1.07870427586997,0.388069526743735,1.23499934244992,8149.37832956227,8583.28995884247,-4009.68916478113
"nitrates_PatternsDeprescribing",-0.0843901749224702,0.389021377598399,0.828263363436462,-0.216929402295185,-0.862809458637198,0.676843274487671,-1.11818582959835,0.919409545273255,0.919072587052444,0.421974894409187,1.96765656645737,0.326872259022297,2.50780920489417,8149.37832956227,8583.28995884247,-4009.68916478113
"nitrates_PatternsInitiating",0.219286092827599,0.403116233911149,0.58645707275018,0.543977330558044,-0.585307657255587,1.00820606198875,-0.847983236663664,1.2591129306659,1.24518746493638,0.556934490514821,2.74067999231692,0.428277796517233,3.52229558072711,8149.37832956227,8583.28995884247,-4009.68916478113
"nitrates_PatternsNo_Treat",-0.0629988722189818,0.380600364761065,0.868530780605768,-0.165524991702337,-0.825781244939455,0.681812451318648,-1.07682078919604,0.919508905300232,0.938944532612357,0.437892757296947,1.97745853356289,0.340676889439963,2.5080583932639,8149.37832956227,8583.28995884247,-4009.68916478113
"antiPark_PatternsDeprescribing",-0.0127117203976295,0.0987310834312455,0.897554721724315,-0.128750946063321,-0.206302032387187,0.180848383949375,-0.267201731532536,0.241725905776719,0.987368732262056,0.813587309452759,1.19823349409025,0.765518626641965,1.2734451010305,8149.37832956227,8583.28995884247,-4009.68916478113
"antiPark_PatternsInitiating",0.0943588824406186,0.114473803181101,0.409778415774857,0.824283633621746,-0.130021988346353,0.318825252656054,-0.20056641372954,0.389431640479554,1.0989540704738,0.878076123266368,1.37551093702027,0.818267144048296,1.47614157629817,8149.37832956227,8583.28995884247,-4009.68916478113
"antiPark_PatternsNo_Treat",0.0891500527121068,0.0958150436582667,0.352143837520779,0.930438992754299,-0.0987062247293443,0.277024992514842,-0.157799620877503,0.336131584617913,1.09324468834978,0.906008831921139,1.31919934073206,0.854020892781482,1.39952316841681,8149.37832956227,8583.28995884247,-4009.68916478113
"ppi_PatternsDeprescribing",-0.142208440892978,0.247614598809922,0.565755582463787,-0.574313637307557,-0.630809406496278,0.343164284467693,-0.786622172311822,0.496599869057251,0.867440427583169,0.532160892157034,1.40940028548373,0.455380396836655,1.64312492204233,8149.37832956227,8583.28995884247,-4009.68916478113
"ppi_PatternsInitiating",0.00401668286510275,0.257262367995447,0.987542993306544,0.0156131769150699,-0.503152474861528,0.508299432203519,-0.664569498900711,0.667584654585324,1.00402476054726,0.60462159777107,1.66246166095709,0.514494970687948,1.94952285830381,8149.37832956227,8583.28995884247,-4009.68916478113
"ppi_PatternsNo_Treat",-0.0196381356879017,0.238935864692366,0.934495635473324,-0.0821899873139017,-0.491499066280667,0.448824854791885,-0.64226066435594,0.59708667071572,0.980553436409573,0.611708714617346,1.56647027340961,0.526101739231307,1.81681809343144,8149.37832956227,8583.28995884247,-4009.68916478113
"loopDiur_PatternsDeprescribing",0.041001514951217,0.250423934396496,0.869944944020578,0.163728419370248,-0.452678249929519,0.532321680019812,-0.609912666216023,0.687814514062991,1.04185368390179,0.635922708890002,1.7028812681509,0.543398324034104,1.98936305385644,8149.37832956227,8583.28995884247,-4009.68916478113
"loopDiur_PatternsInitiating",0.0837696039669824,0.263672365334733,0.750709940509673,0.317703388675702,-0.435499613199563,0.600988555222285,-0.600500406069723,0.764471391609529,1.08737833729102,0.646941365876251,1.8239209560647,0.548537076121658,2.14785869838815,8149.37832956227,8583.28995884247,-4009.68916478113
